#   frequency            amplitude spectral density
   4.5355056e-02   2.2384620e-04
   4.5431028e-02   2.2395161e-04
   4.5506999e-02   2.2409457e-04
   4.5582971e-02   2.2428807e-04
   4.5658942e-02   2.2455197e-04
   4.5734914e-02   2.2491813e-04
   4.5810886e-02   2.2544083e-04
   4.5886857e-02   2.2622032e-04
   4.5962829e-02   2.2746279e-04
   4.6038801e-02   2.2966340e-04
   4.6114772e-02   2.3433678e-04
   4.6190744e-02   2.4871037e-04
   4.6266715e-02   3.9333916e-04
   4.6342687e-02   2.6149581e-04
   4.6418659e-02   2.1983509e-04
   4.6494630e-02   2.1766909e-04
   4.6570602e-02   2.1772231e-04
   4.6646573e-02   2.1801612e-04
   4.6722545e-02   2.1829493e-04
   4.6798517e-02   2.1852326e-04
   4.6874488e-02   2.1870378e-04
   4.6950460e-02   2.1884510e-04
   4.7026432e-02   2.1895534e-04
   4.7102403e-02   2.1904103e-04
   4.7178375e-02   2.1910719e-04
   4.7254346e-02   2.1915770e-04
   4.7330318e-02   2.1919552e-04
   4.7406290e-02   2.1922297e-04
   4.7482261e-02   2.1924185e-04
   4.7558233e-02   2.1925361e-04
   4.7634205e-02   2.1925939e-04
   4.7710176e-02   2.1926013e-04
   4.7786148e-02   2.1925659e-04
   4.7862119e-02   2.1924940e-04
   4.7938091e-02   2.1923908e-04
   4.8014063e-02   2.1922608e-04
   4.8090034e-02   2.1921075e-04
   4.8166006e-02   2.1919342e-04
   4.8241977e-02   2.1917434e-04
   4.8317949e-02   2.1915375e-04
   4.8393921e-02   2.1913185e-04
   4.8469892e-02   2.1910880e-04
   4.8545864e-02   2.1908476e-04
   4.8621836e-02   2.1905985e-04
   4.8697807e-02   2.1903420e-04
   4.8773779e-02   2.1900789e-04
   4.8849750e-02   2.1898103e-04
   4.8925722e-02   2.1895368e-04
   4.9001694e-02   2.1892592e-04
   4.9077665e-02   2.1889781e-04
   4.9153637e-02   2.1886941e-04
   4.9229609e-02   2.1884076e-04
   4.9305580e-02   2.1881191e-04
   4.9381552e-02   2.1878290e-04
   4.9457523e-02   2.1875376e-04
   4.9533495e-02   2.1872454e-04
   4.9609467e-02   2.1869525e-04
   4.9685438e-02   2.1866593e-04
   4.9761410e-02   2.1863660e-04
   4.9837381e-02   2.1860728e-04
   4.9913353e-02   2.1857799e-04
   4.9989325e-02   2.1854875e-04
   5.0065296e-02   2.1851957e-04
   5.0141268e-02   2.1849047e-04
   5.0217240e-02   2.1846147e-04
   5.0293211e-02   2.1843258e-04
   5.0369183e-02   2.1840380e-04
   5.0445154e-02   2.1837515e-04
   5.0521126e-02   2.1834664e-04
   5.0597098e-02   2.1831827e-04
   5.0673069e-02   2.1829006e-04
   5.0749041e-02   2.1826201e-04
   5.0825012e-02   2.1823413e-04
   5.0900984e-02   2.1820642e-04
   5.0976956e-02   2.1817889e-04
   5.1052927e-02   2.1815155e-04
   5.1128899e-02   2.1812440e-04
   5.1204871e-02   2.1809744e-04
   5.1280842e-02   2.1807067e-04
   5.1356814e-02   2.1804411e-04
